NYSE American Stock Exchange,,,,,,,,,,,,,,
"Friday, May 18, 2018 5:32 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Mexco Energy,MXC,6.24,6.24,5.84,5.86,-0.28,-4.6,"11,340",7.18,3,0,0,0,49.11
Micron Solutions,MICR,3.85,3.85,3.84,3.84,0.03,0.79,724,4.29,3.19,0,0,0,9.71
Myomo,MYO,3.42,3.47,3.26,3.39,-0.03,-0.88,"277,377",23.2,2.07,0,0,0,-9.6
National Healthcare,NHC,65.75,65.85,64.85,64.96,0.2,0.31,"28,309",74.8,57,2,3.08,24.24,6.6
Network-1 Technologies,NTIP,2.7,2.85,2.7,2.8,-0.05,-1.75,"31,456",4.6,2.25,0.1,3.57,6.83,16.67
Nevada Gold&Casinos,UWN,2.45,2.45,2.41,2.42,-0.06,-2.42,"15,189",2.86,1.87,0,0,18.62,-9.36
Nevsun Resources,NSU,3.46,3.47,3.33,3.45,0.01,0.29,"1,298,239",3.86,1.96,0,0,0,41.39
New Concept Energy,GBR,1.36,1.4,1.36,1.39,0.02,1.46,"22,112",2.45,1.16,0,0,0,-10.83
New England Realty Associates Un,NEN,66.7,67,66.7,66.94,-0.31,-0.45,"1,910",75.25,66.55,1.2,1.79,4.07,-8.73
New Gold,NGD,2.27,2.36,2.27,2.32,0.02,0.87,"4,785,735",4.25,2.22,0,0,0,-29.48
NexGen Energy,NXE,1.91,1.92,1.87,1.9,-0.01,-0.52,"658,696",2.85,1.65,0,0,0,-25.78
Nobilis Health,HLTH,1.25,1.25,1.15,1.15,-0.05,-4.17,"407,155",2.1,1.15,0,0,28.89,-14.81
Northern Oil&Gas,NOG,2.46,2.5,2.36,2.41,0.01,0.42,"3,795,861",2.97,0.63,0,0,0,17.56
NovaBay Pharmaceuticals,NBY,2.9,2.95,2.85,2.85,0,0,"11,330",5,2.25,0,0,0,-25.97
NovaGold Resources,NG,4.83,4.89,4.82,4.83,-0.03,-0.62,"759,490",5.04,3.35,0,0,0,22.9
NTN Buzztime,NTN,4.87,4.89,4.66,4.66,-0.34,-6.8,"11,903",8.4,3.01,0,0,0,10.69
Nuverra Environmental Solutions,NES,15.62,16.82,15.61,16.47,-0.3,-1.79,"5,381",26.5,9.25,0,0,1.35,-9.41
OncoCyte,OCX,2.6,2.6,2.42,2.55,0.05,2,"36,878",7.85,1.1,0,0,0,-45.16
Oragenics,OGEN,1.16,1.19,1.15,1.16,0,0,"60,868",6.8,0.6,0,0,0,-50.62
Orchids Paper Products,TIS,5.56,6.19,5.5,6.12,0.6,10.87,"113,325",15.74,5.05,1.4,22.88,12,-52.19
Orient Paper,ONP,1.15,1.17,1.15,1.17,0.02,1.74,"4,385",2.45,0.75,0.02,1.71,0,-9.3
Owens Realty Mortgage,ORM,16.02,16.14,15.87,16.06,0.06,0.37,"29,417",18.72,13.71,0.8,4.98,18.46,0.31
Paramount Gold Nevada,PZG,1.5,1.54,1.5,1.54,0.03,1.99,"15,339",1.8,1.16,0,0,0,18.46
Pareteum,TEUM,2.45,2.45,2.39,2.42,-0.03,-1.22,"821,143",3.59,0.5,0,0,0,16.91
Park National,PRK,115,115,113.93,113.95,-0.9,-0.78,"22,221",116.75,92.42,3.84,3.37,18.44,9.57
Pfenex,PFNX,7.51,7.54,6.87,7.04,-0.54,-7.12,"203,496",8.42,2.07,0,0,0,164.66
Plymouth Industrial REIT,PLYM,17.78,17.88,17.66,17.88,0.11,0.62,"12,515",19,16.2,1.5,8.39,0,-3.25
Power REIT,PW,6.15,6.62,6.15,6.57,0.56,9.35,"28,834",8.69,5.5,0,0,25.72,6.74
Radiant Logistics,RLGT,4.12,4.12,3.88,4.01,-0.07,-1.72,"172,889",6.59,3.46,0,0,63.35,-12.83
Rafael Holdings Cl B,RFL,8.37,8.5,8.15,8.27,-0.01,-0.12,"44,509",9.01,3.05,0,0,0,0
RELM Wireless,RWC,3.55,3.55,3.55,3.55,0.05,1.43,312,4.8,3.4,0.08,2.25,0,0
Rexahn Pharmaceuticals,RNN,2.14,2.38,2.1,2.38,0.23,10.7,"1,478,292",4.37,1.42,0,0,0,17.82
Ring Energy,REI,16.59,16.67,15.85,16,-0.59,-3.56,"593,681",17.35,10.88,0,0,136.99,15.11
Sachem Capital,SACH,3.7,3.73,3.66,3.73,0.03,0.81,"29,256",5.1,3.3,0.42,11.26,8.11,-5.33
Saga Communications Cl A,SGA,39.1,39.1,39,39,0,0,"2,982",51.7,36.1,1.2,3.08,88.32,-3.58
Sanchez Midstream Partners,SNMP,12.95,13.25,12.8,13.15,0.3,2.33,"190,536",15.1,9.35,1.8,13.71,0,18.47
Sandstorm Gold,SAND,4.43,4.57,4.4,4.54,0.11,2.48,"1,884,187",5.64,3.26,0,0,287.34,-9.02
Seaboard,SEB,4055,4109.85,4051,4109.85,45.65,1.12,232,4690,3725.5,6,0.15,24.8,-6.81
Senseonics Holdings,SENS,3.14,3.29,3.12,3.26,0.08,2.52,"659,853",4,1.26,0,0,0,22.56
Servotronics,SVT,9.05,9.2,8.98,9.13,0.07,0.83,"3,015",12.8,8.49,0.16,1.75,13.04,-18.04
SIFCO Industries,SIF,5.7,6,5.7,5.85,0.1,1.74,"6,116",8,5,0,0,0,-12.03
Silvercorp Metals,SVM,2.85,2.92,2.83,2.89,0.04,1.4,"896,872",3.43,2.12,0.02,0.69,10.32,10.31
Skyline,SKY,29.24,29.96,28.55,29.62,0.4,1.37,"52,253",29.96,5.07,0,0,31.18,130.51
Southwest Georgia Financial,SGB,21.35,21.35,21.35,21.35,0.1,0.47,533,24,18.5,0.44,2.06,13.77,-11.04
Spark Networks ADR,LOV,11.59,12.74,11.59,12.74,-0.03,-0.24,507,15.4,0.76,0,0,0,0.71
SRC Energy,SRCI,12.81,13.01,12.65,12.81,0.12,0.95,"2,768,410",13.01,6.19,0,0,14.9,50.18
Standard Diversified,SDI,11.15,11.25,11.01,11.25,0.1,0.9,"4,121",18,9.15,0,0,26.17,-2.17
Sunlink Health Systems,SSY,1.38,1.38,1.38,1.38,0.01,0.69,965,2.08,1.27,0,0,0,-13.21
Takung Art,TKAT,2.18,2.19,2.18,2.19,-0.18,-7.59,503,7.23,1.88,0,0,0,-12.75
Talos Energy WT,TALO%,4.92,5.62,4.92,5.62,0.37,7.05,"1,760",8.5,1.85,0,0,0,12.4
Taseko Mines,TGB,1.21,1.21,1.16,1.16,-0.05,-4.13,"458,673",2.46,1.05,0,0,0,-50.21
Tel Instrument Electronics,TIK,2.65,2.7,2.65,2.7,0,0,"5,434",6.35,2.05,0,0,0,3.85
Tompkins Financial,TMP,84.42,85.34,83.33,84.6,0.76,0.91,"221,321",90.5,71.27,1.92,2.27,22.62,4
TransEnterix,TRXC,2.85,3.04,2.82,3.04,0.19,6.67,"5,867,895",5,0.45,0,0,0,57.51
Trinity Place Holdings,TPHS,7.05,7.1,7.01,7.1,0.16,2.31,"19,541",7.59,5.86,0,0,0,2.16
Trio-Tech International,TRT,4.76,5.08,4.67,4.99,-0.22,-4.24,"68,035",8.47,4.05,0,0,9.42,-28.82
Unique Fabricating,UFAB,9.43,9.7,9.43,9.68,0.18,1.89,"10,301",10.85,7.05,0.6,6.2,16.13,30.46
Universal Security Instruments,UUU,1.4,1.45,1.35,1.41,-0.02,-1.4,"38,035",3.5,1.15,0,0,0,-17.35
UQM Technologies,UQM,1.11,1.14,1.09,1.14,0.01,0.88,"95,376",1.79,0.69,0,0,0,-17.99
Uranium Energy,UEC,1.58,1.63,1.56,1.6,0.03,1.91,"976,636",2,0.96,0,0,0,-9.6
VirnetX Holding,VHC,3.4,3.5,3.15,3.15,-0.15,-4.55,"589,240",8.75,2.1,0,0,0,-14.86
VolitionRX,VNRX,2.44,2.44,2.26,2.34,-0.03,-1.27,"69,752",4,1.85,0,0,0,-20.41
Volt Information Sciences,VISI,2.85,2.95,2.55,2.65,-0.25,-8.62,"68,977",6.05,2.15,0,0,2.44,-30.26
Wireless Telecom Group,WTT,2.45,2.45,2.36,2.41,-0.01,-0.41,"6,083",2.64,1.35,0,0,0,-0.82
Xtant Medical Holdings,XTNT,6.05,6.15,5.86,5.95,0,0,"22,684",14.52,3.96,0,0,0,-13.39
Zedge Cl B,ZDGE,4.12,4.15,4.12,4.15,0.03,0.73,"5,825",4.34,1.65,0,0,0,50.95
Zomedica Pharmaceuticals,ZOM,1.92,1.98,1.92,1.98,0.02,1.02,"12,246",2.6,1.5,0,0,0,0.15
